timestamp,lane,arrival_rate,queue_length,waiting_time,phase_state,hour,tod_factor,throughput,delay
0,0,0.1644,2,8.13,1,0,0.3,1.4,2.7100000000000004
0,1,0.2803,5,11.08,0,0,0.3,5.0,1.8466666666666667
0,2,0.0723,1,4.83,0,0,0.3,1.0,2.415
0,3,0.089,0,0.73,0,0,0.3,0.0,0.73
10,0,0.0377,2,6.08,1,0,0.3,1.4,2.026666666666667
10,1,0.052,0,1.3,0,0,0.3,0.0,1.3
10,2,0.1472,3,10.07,0,0,0.3,3.0,2.5175
10,3,0.0353,1,2.62,0,0,0.3,1.0,1.31
20,0,0.0,0,2.99,1,0,0.3,0.0,2.99
20,1,0.1459,3,10.28,0,0,0.3,3.0,2.57
20,2,0.0,0,0.0,0,0,0.3,0.0,0.0
20,3,0.1259,0,0.28,0,0,0.3,0.0,0.28
30,0,0.0525,1,3.43,0,0,0.3,1.0,1.715
30,1,0.0,0,0.0,1,0,0.3,0.0,0.0
30,2,0.0169,0,0.89,0,0,0.3,0.0,0.89
30,3,0.1114,0,0.0,0,0,0.3,0.0,0.0
40,0,0.0,0,0.8,0,0,0.3,0.0,0.8
40,1,0.2585,4,6.29,1,0,0.3,2.8,1.258
40,2,0.0,0,0.48,0,0,0.3,0.0,0.48
40,3,0.0,0,0.0,0,0,0.3,0.0,0.0
50,0,0.1065,2,5.52,0,0,0.3,2.0,1.8399999999999999
50,1,0.1241,0,0.0,1,0,0.3,0.0,0.0
50,2,0.0264,0,1.27,0,0,0.3,0.0,1.27
50,3,0.0,0,0.63,0,0,0.3,0.0,0.63
60,0,0.1218,2,5.9,0,0,0.3,2.0,1.9666666666666668
60,1,0.047,0,2.13,0,0,0.3,0.0,2.13
60,2,0.2179,1,3.07,1,0,0.3,0.7,1.535
60,3,0.2258,1,0.15,0,0,0.3,1.0,0.075
70,0,0.1463,2,8.53,0,0,0.3,2.0,2.8433333333333333
70,1,0.19,2,2.62,0,0,0.3,2.0,0.8733333333333334
70,2,0.1646,3,9.47,1,0,0.3,2.0999999999999996,2.3675
70,3,0.081,1,1.11,0,0,0.3,1.0,0.555
80,0,0.0988,0,2.92,0,0,0.3,0.0,2.92
80,1,0.3831,4,8.95,0,0,0.3,4.0,1.7899999999999998
80,2,0.0458,0,0.0,1,0,0.3,0.0,0.0
80,3,0.2144,3,6.41,0,0,0.3,3.0,1.6025
90,0,0.0776,1,3.58,0,0,0.3,1.0,1.79
90,1,0.1147,2,4.16,0,0,0.3,2.0,1.3866666666666667
90,2,0.2762,4,5.63,0,0,0.3,4.0,1.126
90,3,0.0,0,0.0,1,0,0.3,0.0,0.0
100,0,0.1847,1,2.38,0,0,0.3,1.0,1.19
100,1,0.1193,0,0.0,0,0,0.3,0.0,0.0
100,2,0.2993,1,5.32,0,0,0.3,1.0,2.66
100,3,0.0316,1,1.94,1,0,0.3,0.7,0.97
110,0,0.0339,0,0.0,0,0,0.3,0.0,0.0
110,1,0.196,1,2.76,0,0,0.3,1.0,1.38
110,2,0.065,0,4.19,0,0,0.3,0.0,4.19
110,3,0.0487,0,0.52,1,0,0.3,0.0,0.52
120,0,0.0663,0,0.0,1,0,0.3,0.0,0.0
120,1,0.0448,2,5.63,0,0,0.3,2.0,1.8766666666666667
120,2,0.0047,0,0.0,0,0,0.3,0.0,0.0
120,3,0.041,0,0.0,0,0,0.3,0.0,0.0
130,0,0.1244,1,2.2,1,0,0.3,0.7,1.1
130,1,0.0373,2,5.52,0,0,0.3,2.0,1.8399999999999999
130,2,0.2805,4,9.59,0,0,0.3,4.0,1.918
130,3,0.283,1,4.78,0,0,0.3,1.0,2.39
140,0,0.1363,6,16.51,1,0,0.3,4.199999999999999,2.358571428571429
140,1,0.4497,9,19.09,0,0,0.3,9.0,1.909
140,2,0.2198,5,11.76,0,0,0.3,5.0,1.96
140,3,0.0377,1,5.42,0,0,0.3,1.0,2.71
150,0,0.0799,1,5.1,0,0,0.3,1.0,2.55
150,1,0.1097,0,0.0,1,0,0.3,0.0,0.0
150,2,0.0975,1,0.0,0,0,0.3,1.0,0.0
150,3,0.1245,1,4.35,0,0,0.3,1.0,2.175
160,0,0.0,0,0.0,0,0,0.3,0.0,0.0
160,1,0.1628,3,12.29,1,0,0.3,2.0999999999999996,3.0725
160,2,0.0198,0,0.0,0,0,0.3,0.0,0.0
160,3,0.1827,0,0.0,0,0,0.3,0.0,0.0
170,0,0.4811,7,16.74,0,0,0.3,7.0,2.0925
170,1,0.1521,0,0.0,1,0,0.3,0.0,0.0
170,2,0.1738,2,7.03,0,0,0.3,2.0,2.3433333333333333
170,3,0.293,1,0.0,0,0,0.3,1.0,0.0
180,0,0.1813,2,7.04,0,0,0.3,2.0,2.3466666666666667
180,1,0.3594,4,14.9,0,0,0.3,4.0,2.98
180,2,0.0103,0,0.67,1,0,0.3,0.0,0.67
180,3,0.2218,1,0.74,0,0,0.3,1.0,0.37
190,0,0.0,0,2.21,0,0,0.3,0.0,2.21
190,1,0.0586,1,4.37,0,0,0.3,1.0,2.185
190,2,0.3349,5,18.9,1,0,0.3,3.5,3.15
190,3,0.0254,0,1.33,0,0,0.3,0.0,1.33
200,0,0.1587,1,3.8,0,0,0.3,1.0,1.9
200,1,0.0395,2,2.33,0,0,0.3,2.0,0.7766666666666667
200,2,0.0,0,4.84,1,0,0.3,0.0,4.84
200,3,0.2122,4,8.78,0,0,0.3,4.0,1.7559999999999998
210,0,0.0,0,3.26,0,0,0.3,0.0,3.26
210,1,0.083,1,1.74,0,0,0.3,1.0,0.87
210,2,0.031,0,0.0,0,0,0.3,0.0,0.0
210,3,0.0669,0,1.27,1,0,0.3,0.0,1.27
220,0,0.0842,1,0.46,0,0,0.3,1.0,0.23
220,1,0.0628,1,0.0,0,0,0.3,1.0,0.0
220,2,0.0928,2,7.09,0,0,0.3,2.0,2.3633333333333333
220,3,0.2877,4,10.65,1,0,0.3,2.8,2.13
